Станция,Номер линии,Дата,4/3/2024,4/2/2024,4/1/2024,3/31/2024,3/30/2024,3/29/2024,3/28/2024,3/27/2024,3/26/2024,3/25/2024,3/24/2024,3/23/2024,3/22/2024,3/21/2024,3/20/2024,3/19/2024,3/18/2024,3/17/2024,3/16/2024,3/15/2024,3/14/2024,3/13/2024,3/12/2024,3/11/2024,3/10/2024,3/9/2024,3/8/2024,3/7/2024,3/6/2024,3/5/2024,3/4/2024,3/3/2024,3/2/2024,3/1/2024,2/29/2024,2/28/2024,2/27/2024,2/26/2024,2/25/2024,2/24/2024,2/23/2024,2/22/2024,2/21/2024,2/20/2024,2/19/2024,2/18/2024,2/17/2024,2/16/2024,2/15/2024,2/14/2024,2/13/2024,2/12/2024,2/11/2024,2/10/2024,2/9/2024,2/8/2024,2/7/2024,2/6/2024,2/5/2024,2/4/2024,2/3/2024,2/2/2024,2/1/2024,1/31/2024,1/30/2024,1/29/2024,1/28/2024,1/27/2024,1/26/2024,1/25/2024,1/24/2024,1/23/2024,1/22/2024,1/21/2024,1/20/2024,1/19/2024,1/18/2024,1/17/2024,1/16/2024,1/15/2024,1/14/2024,1/13/2024,1/12/2024,1/11/2024,1/10/2024,1/9/2024,1/8/2024,1/7/2024,1/6/2024,1/5/2024,1/4/2024,1/3/2024,1/2/2024,1/1/2024
Аннино,17,СЕРПУХОВ-ТИМИРЯЗ,16072,13830,7470,10467,16497,6105,9556,13136,16012,14753,14829,8483,14416,8109,7653,13187,6473,11332,5164,6375,13505,11349,12534,14613,19146,2608,16907,7592,12792,9559,9091,18374,5326,14485,4689,8368,18615,11639,8028,3944,8252,16798,14983,1735,18323,10931,6025,6392,9917,7023,3496,15263,3048,2291,3448,3459,8549,9081,17265,10793,16388,13443,4665,8332,9730,19918,18008,7597,17136,7167,16347,15148,14812,9883,9090,8182,7156,8235,13711,3769,5765,2286,19096,3687,15222,17428,18106,1754,8053,9141,7447,8385,13999,19298
Административная,609,КОЛЬЦЕВАЯ,2687,4508,3315,5179,19168,6057,12535,18650,3185,8561,18245,14292,5974,12807,13579,7212,17785,17927,18576,12896,19917,19633,17057,17122,14086,11500,18826,12525,14482,4850,8042,18804,14030,14848,14259,9567,7652,18499,19437,17035,18171,4477,9289,14273,3641,17371,5066,8982,5147,14201,13979,16454,17205,17269,12703,9850,1789,6365,19382,12884,5568,15721,4415,11995,11261,4373,17080,11855,8500,18253,11233,6959,3207,16557,5880,11704,6415,17521,18946,14033,6361,10916,4317,1569,2812,12341,5035,6656,19074,18846,17803,9718,14800,4255
Б-р Дм. Донского,17,СЕРПУХОВ-ТИМИРЯЗ,3521,18043,15592,9225,3943,12943,10208,13925,11159,14350,14674,11685,13087,11012,8496,1907,2402,11894,15465,10963,3756,3673,2074,8982,7477,9190,7680,13640,13884,15956,11489,1238,6337,17359,17975,14690,14878,8085,8579,18623,5203,12969,12203,12783,14683,15330,2003,14332,19613,4722,18051,11645,5372,7346,7319,19653,7021,11877,12388,11217,12321,16718,2475,17777,4446,10973,15372,4610,18697,19840,12321,8066,13319,4086,5966,16999,7005,15274,11909,4652,17083,12707,12306,7804,8233,11259,15758,9313,12586,15442,11934,10032,14006,2853
Парк Победы АПЛ,12,АРБАТСК-ПОКРОВСК,12370,17088,8663,2041,4768,8623,4906,11662,4248,12558,8927,9641,4954,11946,17258,4927,15148,7395,8041,4094,4156,14032,6193,7786,2399,7858,2181,4760,15919,18648,1631,12083,14077,3597,19203,4609,5929,3164,5334,11783,1467,7706,13065,18888,3235,7039,1990,4115,6323,12853,4704,8061,19785,18018,12614,17526,5137,13178,19550,17544,3090,8571,4763,4482,16547,1890,5813,13503,14158,14838,11829,12909,2929,18975,18072,17662,15852,7152,5377,16253,9058,17923,17314,3546,1797,17178,15094,9622,15514,8865,14529,10479,15875,19070
Старокачаловская,1500,БУТОВСКАЯ ЛИНИЯ,11675,2355,8203,18974,3146,10619,8808,2075,18625,15981,17387,17136,15998,11934,17764,5109,8225,1679,14301,7111,11248,3598,4894,12617,9313,5972,7658,11454,6756,11495,6820,3901,6309,18453,18108,1683,16729,15003,3610,8312,18477,5733,9531,8806,18014,7455,9773,9272,19966,5354,2755,19101,8539,8858,2918,18292,5733,11462,4489,14644,4034,10330,18387,2952,13270,12431,11504,10859,10464,5821,3440,14801,17662,16178,5125,4934,4939,1755,4388,17375,19153,10788,10343,6337,15821,16294,7533,9718,15189,12818,7133,5238,18716,6076
Ул. Скобелевская,1500,БУТОВСКАЯ ЛИНИЯ,6404,15679,5110,13176,7450,7010,5985,16225,2485,14143,18516,1553,3852,4533,6544,6829,17690,16322,7453,4419,6148,9918,16037,13538,12205,15457,15637,13687,17863,1961,2882,1601,16220,16327,7871,8770,9744,18407,14337,1710,6585,10196,15362,15227,15047,1726,3908,11781,18007,18758,15181,15293,6058,6597,4582,5025,17933,15910,16167,14024,18372,1266,1229,15330,13501,5925,18832,11850,4910,11574,15254,13825,2604,16582,15547,12458,18712,15504,19714,9479,13900,3553,19530,17578,2138,5561,11892,8420,5022,8692,14931,16824,7367,6319
Б-р Адм. Ушакова,1500,БУТОВСКАЯ ЛИНИЯ,18488,2545,13150,13314,6994,8265,15357,10709,3390,4077,11069,4937,13244,11928,17202,11406,18678,8251,9253,7486,14909,5185,11845,5966,11691,4662,7662,14982,5648,15815,2480,11265,16454,15340,17185,11279,17677,2155,17629,12820,1726,4372,7928,15356,16081,14425,5699,14420,11480,11036,19186,7989,2599,15562,11067,1224,12005,13930,19175,17930,4508,1884,16462,15771,15474,16080,7086,10747,13228,6393,14998,16522,1024,2208,9120,12466,13560,16983,14995,6760,16554,1336,16762,12481,18785,8816,9071,16060,11622,18446,5072,5092,15428,3218
Ул. Горчакова,1500,БУТОВСКАЯ ЛИНИЯ,13902,14619,2348,2629,6654,6165,9423,15627,13283,3500,16968,14223,4070,16509,12063,2280,13218,10302,3531,5083,5795,14717,11269,6383,10486,4366,14071,11899,11407,11107,9718,6602,4491,14613,15523,13259,19977,10814,12397,17612,8551,2600,10970,13256,12890,11522,19010,19396,9603,9750,4589,17666,7434,17674,17668,5927,17571,7832,10184,14155,14397,11088,13265,7309,16506,19027,7684,18037,8844,13788,1235,13421,18260,15803,3189,13075,10303,7664,11316,6666,18948,8957,10899,6759,1989,7628,14337,11227,11785,10814,9546,19524,4066,5436
Бунинская аллея,1500,БУТОВСКАЯ ЛИНИЯ,15721,11469,13990,1910,1030,3426,16941,8211,18220,16312,5306,7856,12382,19215,1091,8605,11782,4719,5707,12909,19568,13944,19195,14789,13915,5108,4311,19939,7608,1718,13757,6588,9135,4551,17417,8602,6103,7118,12299,1097,15197,11843,7158,3177,17068,2370,3196,2016,8091,12083,8347,9682,4230,5795,16877,5554,5939,2521,3263,18768,11834,12419,19318,1349,6229,10840,1706,6341,13631,3767,19036,2147,6282,19420,14919,15350,18497,18407,1771,16497,9041,13419,17864,12158,14156,17456,7451,4247,15821,13388,4581,10379,17302,7885
Трубная,18,ЛЮБЛИНСКАЯ,2190,5011,13270,12012,1567,10984,11578,3570,7262,19193,17289,9141,2834,14611,2715,11230,14717,15857,9062,1470,13253,16443,13820,16144,3602,2044,1482,18082,15741,17838,15101,6996,13671,6665,16075,3025,5963,1222,5073,11095,7692,11436,14909,8083,2476,14961,16950,8935,3339,3784,4085,4274,5540,3878,18472,6185,19051,18944,7753,13972,4662,4225,12923,13029,10142,8968,13937,7916,15703,18877,1368,11474,16792,17065,2861,13700,10716,7947,10420,18979,3730,11823,17169,1161,11329,1068,13446,7379,6252,1753,9393,6433,5804,19786
Кунцевская АПЛ,12,АРБАТСК-ПОКРОВСК,15051,15058,15790,17184,12615,2886,5734,19169,16426,10468,4356,10974,7163,12619,11446,12423,4965,17218,16321,6748,18877,5478,8136,14826,14078,14981,12124,4827,12932,16480,9157,11713,6380,12513,13899,14414,6469,11088,4539,14794,9688,2352,11209,4247,8929,19481,15618,15445,16794,6523,17723,1900,19246,2910,7237,12522,6954,13129,11880,11888,17390,1852,15756,2475,2669,16945,7631,1639,8268,5246,18090,11529,16162,12381,7654,10946,2458,17154,17475,9769,17257,5620,6068,19162,18467,5744,13571,10926,1433,2615,18368,4363,3660,7162
Строгино,12,АРБАТСК-ПОКРОВСК,12732,14061,11076,19151,8385,1567,7995,7643,19878,6949,11682,19040,13060,18930,19919,2930,6327,17241,4577,13339,12366,18918,16173,3856,5448,1129,11118,11565,17014,16829,14759,12588,3617,7732,4200,8131,2243,7276,18812,1923,16822,15034,16003,7767,14705,10357,11948,7647,12873,14029,4822,19843,13499,18756,3023,3548,13938,5976,8308,1943,18607,7051,5045,14429,17448,4933,2525,18577,4825,9963,5978,19183,4784,12195,17984,16130,3213,6604,5321,13676,18252,11068,10147,9789,14066,2240,11170,12040,13363,6104,10945,9415,4328,18271
Каширская (Ках.),11,КАХОВСКАЯ,15001,16014,8951,11291,8836,12375,16362,17877,10384,6506,5659,3564,11424,15080,5834,13634,13771,7450,18553,19992,4304,18371,12865,8536,2460,5352,13251,19166,2668,4383,19822,10365,11664,7114,19987,14266,13265,9969,9271,7325,12247,3914,4857,1285,15385,11005,11970,17045,10383,9765,15780,12137,19488,3292,6738,1835,13324,15120,11153,4490,17434,9003,11402,15573,2386,18164,10435,18340,17445,2670,2447,11997,18352,11636,15481,14215,6200,5693,2895,4800,2930,19147,6716,1424,12285,19377,6457,17472,16031,1544,1664,2548,1580,14100
Киевская (Фил.),13,ФИЛЁВСКАЯ,3571,8627,4765,18107,11518,5613,2467,12859,11024,19084,19150,1286,16945,3927,15945,15898,1646,17292,17506,3421,19742,3467,12457,4278,13356,18202,3960,3046,16982,13699,11059,10158,11913,5802,19007,14720,19685,8119,7765,11746,3551,2602,1217,7531,12803,7742,6552,6719,7412,13511,3893,6947,17914,13414,15226,14499,4456,7776,4567,15850,10080,18510,4697,12503,7091,11059,9792,15160,10048,6676,12245,19878,17680,19769,1117,18762,18005,16882,18908,3540,6553,2293,7074,17424,18030,9694,5540,3485,3287,3918,7620,1758,4169,1675
Сретенский б-р,18,ЛЮБЛИНСКАЯ,12559,18290,15374,8778,19361,3938,18135,16527,13936,7570,10644,13399,2923,1856,1439,8294,7292,8266,17081,3715,2703,14317,16526,8575,9100,6950,4958,16919,3298,8743,9416,9389,19016,17277,2535,12531,15707,5542,7049,15272,1157,13918,12480,14519,10602,1407,15087,2845,17588,16423,11417,18313,7564,10014,11539,16481,13013,17461,2297,2594,4709,1744,19301,4185,8313,8092,15716,4519,14424,18303,7609,16344,5474,1026,2813,10589,19986,11337,5208,6178,11920,11062,19145,10354,14622,18661,9296,1700,15873,5735,10299,4901,14737,9706
Славянский бульв,12,АРБАТСК-ПОКРОВСК,13914,14599,11867,6668,11496,7846,1625,1227,6015,17702,10900,7867,2744,6327,11131,2250,4270,9242,9189,14928,11884,11530,17202,17325,19768,18301,10164,7345,12726,4025,15173,15692,2148,3131,6348,5670,7542,19786,10628,5784,4639,1536,14239,15252,7375,7497,11725,11919,17325,9302,8188,11258,3732,3362,5037,7306,7800,5814,14913,1108,10479,4531,1967,9561,18328,1006,5096,14099,14162,16293,9230,4441,16156,9802,10046,12288,5248,19390,1538,1640,15045,4129,5373,2283,2370,10993,5146,1303,19720,5264,8209,8584,13872,18464
Мякинино,12,АРБАТСК-ПОКРОВСК,9558,18319,6997,6889,7766,4741,5582,1854,14288,15361,9343,11825,16473,19357,6516,18090,19588,4832,17100,16733,17373,19057,12454,7571,11640,11916,12367,12802,16038,12345,7449,18116,17651,18059,13496,7545,7983,17917,6635,5416,14090,9559,18083,13663,19948,13537,8614,11721,3924,12593,19937,9574,11501,17504,10017,4589,8254,7216,13287,12876,17974,11871,9573,10291,9070,2424,6260,1785,8005,6478,5151,14699,2632,18776,11297,3029,10469,8306,12196,19024,15070,5269,18665,14696,2243,15594,15196,11701,1590,15732,6807,5740,6815,13104
Волоколамская,12,АРБАТСК-ПОКРОВСК,7434,14477,18436,14667,7097,14179,5135,16212,12581,19913,6008,3174,15173,17548,17834,16319,11619,16809,4453,2632,16735,16908,10192,9198,16469,16764,13316,16364,2602,17397,16428,16746,10639,8850,9420,13282,11767,12229,2142,8156,7984,11593,9075,6390,11579,4210,1600,11066,19931,1154,9217,4341,16086,11018,12262,17916,16175,9483,18009,10999,10590,18033,10467,7596,11289,18266,13149,18738,13100,3905,1228,16806,15465,3661,17240,19125,9371,4545,16407,15941,19014,10164,3242,16480,11764,1008,8984,11235,2662,1249,3343,6964,19823,19926
Митино,12,АРБАТСК-ПОКРОВСК,17082,11278,13551,18880,13979,9760,8258,17146,5760,2792,4161,1284,10828,12123,17129,17968,13736,10371,12233,17310,16141,18803,8019,9699,9602,4031,16404,17780,18137,13157,2246,5069,17350,1832,16602,5239,10153,7185,17884,11083,16238,2736,10731,11760,17412,15363,7154,5832,18905,14199,7880,1257,5675,15043,13280,3072,18630,13899,9211,1543,4217,15632,13900,16256,10754,14704,17175,9503,16717,13036,18230,17464,7516,4425,12907,8726,6996,19876,9893,10389,17067,17878,16124,18657,2331,10516,10203,6494,13316,1061,3147,11835,14525,7665
Достоевская,18,ЛЮБЛИНСКАЯ,5087,5234,6888,16016,14113,5308,1055,14829,19347,7494,11925,6874,5857,14967,2384,11349,2564,4345,6034,14337,2708,3988,16508,18081,1178,6331,13266,8064,1341,13821,4089,19308,4534,6707,7464,1839,10030,18273,4931,18066,4755,2963,18476,3853,10773,8520,15778,17709,6087,18744,17106,2886,5713,8247,18805,18571,19988,12125,1769,19015,6282,16256,19421,1343,12830,5954,9792,16131,18897,6049,18484,18777,2927,7094,11670,4754,14264,14158,5299,3952,2825,2052,7949,19492,6917,17352,11039,13019,17595,17703,15652,3183,19706,10875
Марьина Роща ЛДЛ,18,ЛЮБЛИНСКАЯ,2308,7152,7994,16467,14221,5453,4865,10280,5055,1575,1089,13114,16852,1736,9631,15711,16079,16171,3321,9818,12016,12603,12229,12399,11474,7787,11767,16374,14341,15332,18215,4318,18394,4290,3552,16787,15026,13315,3456,3505,13209,14876,2146,15696,17292,9156,3712,12709,1781,3667,3893,9320,14743,18883,14999,19989,1432,17099,1952,1729,1202,3436,4447,10298,8349,14456,4728,10745,13045,15132,9503,13509,12078,4377,9327,15002,11037,2209,5929,10479,2428,9246,15324,14453,18003,10940,3812,14787,6485,11290,19703,9749,17295,14254
Борисово,18,ЛЮБЛИНСКАЯ,2720,2325,19461,18150,16812,12105,4789,14832,18512,6948,5310,18408,1574,15672,9387,4825,18721,7744,18722,3981,17035,15085,14091,4770,11863,6736,8947,2259,8170,7235,4702,19441,6231,9242,13369,12308,15858,8667,9412,17144,3622,16035,10197,18386,5747,15023,17286,15616,5517,9775,11633,3817,3983,13466,8748,4715,7057,14699,18486,3913,2402,11805,6542,18203,17673,17099,19377,12631,1528,12476,19962,14775,1616,2541,11809,19307,11472,12748,11991,13381,11044,19251,5141,5197,11881,15412,13512,4985,15906,6566,8509,13010,4057,15018
Шипиловская,18,ЛЮБЛИНСКАЯ,1226,3656,19344,3386,9064,10833,14001,4504,4717,11271,2029,6870,12974,17235,3886,7806,6672,16459,9996,18541,19588,18823,19412,9692,13781,2421,13929,5764,8057,8758,10245,1566,11729,8954,10323,8617,13038,18164,14457,5958,3258,1032,5993,2836,1043,6077,14343,16669,16096,4306,15930,2744,11422,18880,14402,8437,18896,6651,7856,1655,17257,9069,1637,15752,2946,18626,10943,6310,13547,18761,7500,13181,9795,3372,18547,2795,13825,8352,5673,1536,1381,10130,7561,6673,19346,12385,18468,5487,14399,14825,15285,16979,12932,19134
Зябликово,18,ЛЮБЛИНСКАЯ,8499,12444,6526,19554,18214,11513,8936,1301,5827,8379,18289,14874,13011,1399,4659,6488,9456,4458,2821,3024,3821,17572,1512,12962,19822,6038,17708,11735,4028,2149,8716,4652,9933,13172,9842,7273,17964,12642,8437,6087,2391,12102,4775,10023,5756,10001,6973,11952,17574,4200,18249,16823,8879,1012,13673,6921,16566,1425,5305,13101,15277,2127,11269,7349,3571,13728,9064,8929,16195,17057,18081,3074,1541,9588,13230,17698,14229,7192,13264,15981,15451,9064,14956,1465,10595,18232,18332,18483,19809,1217,19360,1837,4031,4674
Новокосино,14,КАЛИНИНСКАЯ,7559,13067,2648,17445,17585,14535,4916,19545,9878,19326,10747,5748,7395,16263,2608,7046,5033,10815,2477,15066,14628,18309,17816,4181,19272,17081,15029,12921,3009,2698,10673,19685,9292,14298,16215,11205,15531,6793,3887,16555,5981,12973,8018,17834,15849,1997,11440,14108,16267,10536,9062,8022,15316,15266,14027,11686,4104,4468,3108,1282,13236,1554,13897,2800,11903,15011,9918,8663,1061,10502,3297,18920,5780,19820,1480,4794,10100,8829,12817,13201,18330,6677,14401,17532,4185,15986,5228,2178,13575,5858,4659,10264,11745,9649
Алма-Атинская,9,ЗАМОСКВОРЕЦКАЯ,11774,16601,6940,15296,15617,9829,5531,15875,9528,10533,15246,2280,3456,13152,4935,16193,6808,13071,6047,15130,8921,12033,10774,16356,16215,19082,16530,18079,13375,17717,17919,17906,5380,8895,12625,15629,17872,13677,6211,3716,7838,1955,19860,7403,17118,1949,15701,1876,3917,6990,16554,6504,16417,7502,15951,19120,7742,12597,12554,2056,8603,13709,14606,13275,3918,5116,11504,15057,7344,5904,2145,2677,18416,12818,3010,15087,15436,17106,10882,11944,13857,11263,5644,10483,15720,19689,15596,3116,7560,18620,11956,15778,14040,10404
Пятницкое шоссе,12,АРБАТСК-ПОКРОВСК,17935,13657,19367,19824,4085,9830,8369,19265,13722,11364,14949,9461,11795,19702,5096,1311,6943,9618,8707,18198,19159,11252,13093,11430,13612,1409,9853,6988,1622,4996,4051,15260,12078,6459,14840,14775,7018,4401,3851,13926,18775,2352,6227,18442,7203,6062,18010,5319,11924,16682,15036,17054,5598,12815,6976,11636,19625,12374,15601,17345,7663,11625,5794,17215,16994,13820,6257,19086,15525,6380,6528,16669,2313,1667,9811,3459,8801,14400,2691,7138,15651,8450,2833,6552,13676,17407,12919,18209,8407,9215,11075,19561,11356,16051
Жулебино,16,ТАГАНСК-КРАСНОПР,16288,2130,2366,16033,7452,4043,18715,1196,13000,2229,14121,10985,5545,18553,9896,2550,13486,7322,17945,18758,8608,10245,2409,10728,19285,18400,11588,2758,7480,7223,15575,3325,14969,5077,7557,11077,13923,16981,13612,8821,5675,15490,10534,7748,17034,4402,15540,15610,6193,9967,13619,4906,5816,1250,8862,3726,12301,8312,12221,3938,3585,10326,18679,16642,10616,14900,4474,5370,16453,19035,13039,1294,12734,3225,11370,2334,4055,17548,15128,14905,3300,17576,10445,7922,1463,12713,4882,8811,12997,6119,2312,9089,8401,7237
Лермонтовский пр,16,ТАГАНСК-КРАСНОПР,14324,4877,7575,8455,2057,4744,1501,19008,14769,14472,13392,11074,19680,5569,13701,8909,11282,13790,6002,4643,2878,18321,2030,17561,6411,14317,8794,15663,9244,3979,4462,15561,4599,5450,16099,4967,11781,4765,2702,9095,12021,8443,16819,8659,14212,16497,5368,19736,12748,15916,7992,19338,13525,8236,6814,2595,3514,12039,14362,10189,1727,19476,2371,10055,9636,9310,5006,15974,8032,2965,4808,13065,8793,14329,1461,13931,19164,14800,14336,1434,12540,13195,1756,16586,5703,2518,15322,5727,2955,2851,6522,16132,16775,2656
Котельники,16,ТАГАНСК-КРАСНОПР,9103,11870,10109,17559,4022,12349,4262,9576,3662,14347,7520,4361,12741,15483,13621,17202,11338,8168,10861,3612,7278,18926,12354,3662,15245,16612,5930,12078,1959,9643,3508,9356,4719,14896,17460,1108,1829,18407,9576,17957,7471,4681,4501,2544,14837,17418,17600,10048,18344,14088,14279,14511,10139,4116,6392,15345,17727,7953,6487,7922,3216,4973,14458,15734,14606,1616,3802,6025,15115,10407,7302,9679,8065,8786,15704,4616,14029,18910,12130,3001,11545,8276,3138,18726,15643,12480,2734,18505,17349,11184,8571,16273,6881,3864
Битцевский парк,1500,БУТОВСКАЯ ЛИНИЯ,16833,2493,10892,10659,7389,13034,15613,18399,17255,6940,18447,13269,19410,10895,11282,8690,4237,11915,4535,5100,7546,13063,8870,6578,6908,18468,7682,7900,17352,14464,18334,14603,5879,3862,7631,12050,5183,8951,17597,5806,16008,4930,6164,7050,17697,13057,16951,19829,17574,17333,16727,10839,9075,8160,4281,14904,16220,9147,5416,17238,3974,13609,10487,3929,1558,14261,19625,2722,13550,8663,10848,8276,8210,14023,3279,17459,2615,8032,8101,6594,7225,6522,15745,15404,7084,13083,4861,6052,8764,3248,2626,9365,18836,1771
Лесопарковая,1500,БУТОВСКАЯ ЛИНИЯ,3973,16624,14509,5715,15661,18123,14141,9163,14483,15626,10814,7359,8823,8858,18060,3319,5099,1720,16363,10332,17373,10406,9665,2538,18908,3083,3371,1909,19883,11102,16847,10392,15784,8145,19074,11655,15070,19400,18094,17846,12701,1758,17593,3277,12407,12752,4965,6596,13534,11628,4550,11019,12719,1104,10127,4959,15315,1214,9267,7540,2679,16187,4874,12798,18643,9495,18804,12724,17153,13663,17106,1188,19355,19435,13260,17002,10225,8084,7806,17263,10614,3954,5032,15349,2522,8269,4619,12911,7536,11807,12638,17119,3521,11519
Дел. центр СолЛ,1691,СОЛНЦЕВСКАЯ ЛИН.,7891,9565,19880,14830,5761,13648,4476,16863,9005,18615,9337,5900,12254,14495,3429,2138,17991,8446,19480,14153,6984,16790,10725,15438,18694,12835,16307,4487,6555,7974,4295,8274,18986,7204,13050,12492,17566,7715,10341,7344,3559,8302,17607,7854,8914,2198,7332,18393,7290,19427,11225,17254,12714,11636,6758,2245,4141,19611,10599,15971,14189,6828,10402,4959,10650,5784,11341,4822,10212,7447,17250,5136,6308,18178,4771,10049,8257,12251,12867,17347,15731,1203,11594,1018,18348,11358,19420,9781,4874,19728,4158,17360,18801,7735
Парк Победы КС,1691,СОЛНЦЕВСКАЯ ЛИН.,1677,17067,18906,13927,15086,8213,14406,5264,13914,14105,12648,10911,19651,11753,5281,2656,19697,5522,11271,14337,14983,10922,14779,2274,4193,7675,3582,19517,14435,11616,19204,3835,12295,14902,17773,4563,18610,10734,12847,2058,14839,3216,4249,7729,6298,5283,8514,18501,12401,7690,13445,17091,16309,5800,15819,10578,19901,16585,4692,15633,18520,16605,11519,18018,3644,3257,6718,13112,13951,11515,14053,18973,10984,4561,19141,6058,17621,3228,13630,13497,5405,1196,12602,15917,12183,11582,18292,4995,2136,2048,19819,1005,4883,17346
Спартак,16,ТАГАНСК-КРАСНОПР,7501,5198,11796,17709,1033,7001,10959,4889,14874,13417,13253,17728,3959,7627,3886,3541,3660,6085,13553,15158,17886,8884,10161,10575,12423,10309,15611,15829,19355,12436,17152,18923,12049,8658,9076,9122,12356,9072,17612,16569,2553,2380,7870,17826,1318,2884,13958,11386,13912,3642,11207,18703,9616,7506,8830,13576,1753,14972,5370,14731,1043,7394,8945,18887,17740,17648,2692,14410,19361,8816,11548,8182,18830,4833,6111,4620,11357,1977,11628,15084,12623,6104,12257,16479,7595,3185,4429,9639,14159,2696,18002,13569,4504,13193
Тропарёво,8,СОКОЛЬНИЧЕСКАЯ,12122,1543,8512,10098,17256,19503,17804,9419,15751,4379,13193,13514,5128,10492,8396,5039,3947,15889,17566,9994,9583,8243,8000,14109,11181,15415,2477,9391,12361,2850,18324,8552,10148,15598,18806,1056,14371,9696,5456,1873,11527,19148,5124,3996,13382,7100,12791,8156,3126,18416,14214,3165,3871,18947,4535,17861,12659,6466,4588,19004,5001,7843,7467,2144,4037,14461,3394,5116,15072,17778,6725,6007,9713,1290,10479,13399,13728,6591,9533,13866,18446,15565,17672,11002,13743,10715,4682,1061,15737,5100,19721,3544,8669,2064
Румянцево,8,СОКОЛЬНИЧЕСКАЯ,18642,10169,14435,9568,17763,2150,14193,7233,7949,18582,7134,11388,18530,10600,14543,12758,9917,15033,2004,13229,8172,13003,8542,12480,15784,12642,11511,9570,9473,6790,14717,19471,5227,15285,18670,10904,3563,3247,8213,7403,12598,4801,13309,3188,5930,11432,19698,17146,5401,2727,14301,14502,9501,5338,19714,6192,16928,16837,2851,15215,3091,2031,1571,14518,19638,5748,11630,9612,10469,11784,15409,1645,6416,7531,10133,1053,16505,10862,6899,14539,16679,6504,17367,11711,10389,9683,11125,12587,9102,8372,6036,1082,2011,17515
Саларьево,8,СОКОЛЬНИЧЕСКАЯ,2234,19109,7049,11310,10192,19459,18002,13354,2298,14822,10114,16836,10437,18649,5550,9664,13706,4803,8236,6634,17565,4048,10327,15461,4003,1922,9151,5596,7598,5802,13692,19026,3911,12159,2637,16756,7086,9513,19996,13001,12887,9372,18068,6573,11028,14693,19130,14182,6121,6998,8891,19911,12265,11824,13896,3919,3719,7024,1103,5201,17845,2966,12277,10105,9841,17345,15445,15542,18214,13320,9823,13676,6240,15229,16963,14482,10899,4471,5122,9899,10943,14311,7554,13603,5981,12234,1066,11691,15813,2885,1926,6372,3905,13097
Технопарк,9,ЗАМОСКВОРЕЦКАЯ,14466,18367,4810,1064,3900,4027,4232,12542,11806,17482,15846,11650,5562,17637,14754,14892,15659,16467,3642,18285,3297,5722,6509,14441,13303,2516,18775,12408,5471,12384,11325,4912,2785,1498,7098,1903,11658,9743,17333,7817,11867,4150,6147,10608,17856,9193,10393,4025,17368,8847,9466,4065,4702,16444,17944,10551,9024,18452,17824,9169,8116,6671,7241,7050,14105,3431,12960,16606,9214,11179,1763,13788,14786,17707,10924,15474,14874,11239,6725,14497,15918,15184,9143,13175,10740,3010,10869,1569,19473,18227,12623,15335,5483,2354
Шелепиха МЦК,1698,МЦК,3516,12643,18776,14411,3847,8208,5504,1517,15673,6984,12687,5900,9581,5938,8680,14281,1112,3297,11908,19745,16917,13276,11081,18228,8419,9729,19634,8881,16272,11101,13156,10301,9733,9263,10839,4892,17258,11690,6969,14982,12265,1145,17910,11180,2772,6946,17460,5346,10709,17045,18402,1755,18120,7335,15102,17454,14967,15367,5880,4837,11144,3233,10678,19105,14839,6894,19661,16919,17943,19580,16702,3420,18634,6339,19697,10308,4264,17957,3232,4182,16242,7578,5892,5770,18624,19612,16854,3005,15671,18826,5166,12012,8999,15498
Шоссе энтуз.МЦК,1698,МЦК,16023,6327,7672,9639,13889,6314,1066,1598,17221,5077,8344,19072,2769,15674,2562,13809,6788,17557,11272,2948,16988,6761,18974,5900,8992,17685,13641,9778,5481,11955,2758,9842,2729,16966,4978,7959,11429,18978,8904,12183,12751,12809,5572,14304,7792,16425,5543,18819,12952,5079,14494,13789,14013,7518,19173,7045,9674,8085,9290,15240,7423,11717,17919,16040,1587,18050,13042,4968,12297,8902,7878,15026,3481,14515,9790,1145,5227,19868,11161,1326,12147,10572,17482,15364,10310,15093,7699,8200,13634,8273,10077,15825,11710,10765
Панфиловская МЦК,1698,МЦК,10493,12915,3062,8417,7432,16822,1097,16631,17313,18146,8175,17513,19238,12487,3889,14007,17568,13442,11826,2308,14934,16777,11208,9767,15276,11041,3340,1609,14965,9175,13943,8491,8758,8517,12831,15818,7132,3188,17687,7942,16282,14102,4548,15246,2418,1951,10021,2229,5914,1841,4653,11906,10137,3561,19391,18733,9280,15267,14435,5428,12936,16945,9655,3282,11510,14147,10875,7321,1647,6847,19692,19501,8236,17223,19937,15405,9312,8019,8669,7345,18305,7502,2056,16245,7505,12471,17218,18665,19167,14950,18440,1648,12338,14807
